Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
13190,	05/13/2026 19:19:04.203,13176.5705,388.0009,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13191,	05/13/2026 19:19:05.203,13177.5710,389.0014,1,4,0.0000,3.6958,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13192,	05/13/2026 19:19:06.202,13178.5700,390.0004,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13193,	05/13/2026 19:19:07.203,13179.5707,391.0011,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13194,	05/13/2026 19:19:08.203,13180.5707,392.0011,1,4,0.0000,3.6956,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13195,	05/13/2026 19:19:09.202,13181.5704,393.0008,1,4,0.0000,3.6956,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13196,	05/13/2026 19:19:10.202,13182.5698,394.0002,1,4,0.0000,3.6956,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13197,	05/13/2026 19:19:11.203,13183.5707,395.0011,1,4,0.0000,3.6956,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13198,	05/13/2026 19:19:12.203,13184.5706,396.0010,1,4,0.0000,3.6956,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13199,	05/13/2026 19:19:13.203,13185.5705,397.0009,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13200,	05/13/2026 19:19:14.203,13186.5706,398.0010,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13201,	05/13/2026 19:19:15.203,13187.5713,399.0017,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13202,	05/13/2026 19:19:16.202,13188.5697,400.0001,1,4,0.0000,3.6957,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13203,	05/13/2026 19:19:17.202,13189.5698,401.0002,1,4,0.0000,3.6958,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13204,	05/13/2026 19:19:18.202,13190.5698,402.0002,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13205,	05/13/2026 19:19:19.203,13191.5705,403.0009,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13206,	05/13/2026 19:19:20.203,13192.5705,404.0009,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13207,	05/13/2026 19:19:21.202,13193.5697,405.0001,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13208,	05/13/2026 19:19:22.203,13194.5714,406.0018,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13209,	05/13/2026 19:19:23.202,13195.5697,407.0001,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13210,	05/13/2026 19:19:24.203,13196.5714,408.0018,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13211,	05/13/2026 19:19:25.203,13197.5706,409.0010,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13212,	05/13/2026 19:19:26.202,13198.5698,410.0002,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13213,	05/13/2026 19:19:27.202,13199.5698,411.0002,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13214,	05/13/2026 19:19:28.203,13200.5707,412.0011,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13215,	05/13/2026 19:19:29.203,13201.5705,413.0009,1,4,0.0000,3.6959,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13216,	05/13/2026 19:19:30.202,13202.5698,414.0002,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13217,	05/13/2026 19:19:31.202,13203.5699,415.0003,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13218,	05/13/2026 19:19:32.203,13204.5705,416.0009,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13219,	05/13/2026 19:19:33.202,13205.5700,417.0004,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13220,	05/13/2026 19:19:34.202,13206.5700,418.0004,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13221,	05/13/2026 19:19:35.203,13207.5713,419.0017,1,4,0.0000,3.6960,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13222,	05/13/2026 19:19:36.203,13208.5706,420.0010,1,4,0.0000,3.6961,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13223,	05/13/2026 19:19:37.203,13209.5707,421.0011,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13224,	05/13/2026 19:19:38.203,13210.5705,422.0009,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13225,	05/13/2026 19:19:39.202,13211.5700,423.0004,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13226,	05/13/2026 19:19:40.202,13212.5698,424.0002,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13227,	05/13/2026 19:19:41.202,13213.5697,425.0001,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13228,	05/13/2026 19:19:42.202,13214.5703,426.0007,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13229,	05/13/2026 19:19:43.202,13215.5699,427.0003,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13230,	05/13/2026 19:19:44.203,13216.5706,428.0010,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13231,	05/13/2026 19:19:45.202,13217.5698,429.0002,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13232,	05/13/2026 19:19:46.203,13218.5712,430.0016,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13233,	05/13/2026 19:19:47.203,13219.5710,431.0014,1,4,0.0000,3.6961,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13234,	05/13/2026 19:19:48.202,13220.5704,432.0008,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13235,	05/13/2026 19:19:49.202,13221.5697,433.0001,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13236,	05/13/2026 19:19:50.203,13222.5714,434.0018,1,4,0.0000,3.6961,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13237,	05/13/2026 19:19:51.203,13223.5705,435.0009,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13238,	05/13/2026 19:19:52.202,13224.5698,436.0002,1,4,0.0000,3.6963,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13239,	05/13/2026 19:19:53.202,13225.5697,437.0001,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13240,	05/13/2026 19:19:54.202,13226.5700,438.0004,1,4,0.0000,3.6962,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13241,	05/13/2026 19:19:55.203,13227.5713,439.0017,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13242,	05/13/2026 19:19:56.203,13228.5706,440.0010,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13243,	05/13/2026 19:19:57.203,13229.5706,441.0010,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13244,	05/13/2026 19:19:58.202,13230.5697,442.0001,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13245,	05/13/2026 19:19:59.203,13231.5712,443.0016,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13246,	05/13/2026 19:20:00.203,13232.5713,444.0017,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13247,	05/13/2026 19:20:01.202,13233.5698,445.0002,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13248,	05/13/2026 19:20:02.202,13234.5704,446.0008,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13249,	05/13/2026 19:20:03.203,13235.5705,447.0009,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13250,	05/13/2026 19:20:04.202,13236.5698,448.0002,1,4,0.0000,3.6963,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13251,	05/13/2026 19:20:05.202,13237.5697,449.0001,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13252,	05/13/2026 19:20:06.202,13238.5698,450.0002,1,4,0.0000,3.6963,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13253,	05/13/2026 19:20:07.202,13239.5697,451.0001,1,4,0.0000,3.6963,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13254,	05/13/2026 19:20:08.203,13240.5705,452.0009,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13255,	05/13/2026 19:20:09.202,13241.5698,453.0002,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13256,	05/13/2026 19:20:10.203,13242.5705,454.0009,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13257,	05/13/2026 19:20:11.203,13243.5705,455.0009,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13258,	05/13/2026 19:20:12.203,13244.5714,456.0018,1,4,0.0000,3.6964,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13259,	05/13/2026 19:20:13.203,13245.5707,457.0011,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13260,	05/13/2026 19:20:14.203,13246.5711,458.0015,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13261,	05/13/2026 19:20:15.203,13247.5705,459.0009,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13262,	05/13/2026 19:20:16.203,13248.5707,460.0011,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13263,	05/13/2026 19:20:17.203,13249.5709,461.0013,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13264,	05/13/2026 19:20:18.203,13250.5706,462.0010,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13265,	05/13/2026 19:20:19.203,13251.5713,463.0017,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13266,	05/13/2026 19:20:20.202,13252.5698,464.0002,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13267,	05/13/2026 19:20:21.202,13253.5697,465.0001,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13268,	05/13/2026 19:20:22.203,13254.5713,466.0017,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13269,	05/13/2026 19:20:23.202,13255.5697,467.0001,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13270,	05/13/2026 19:20:24.203,13256.5713,468.0017,1,4,0.0000,3.6965,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13271,	05/13/2026 19:20:25.202,13257.5697,469.0001,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13272,	05/13/2026 19:20:26.203,13258.5706,470.0010,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13273,	05/13/2026 19:20:27.202,13259.5698,471.0002,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13274,	05/13/2026 19:20:28.203,13260.5707,472.0011,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13275,	05/13/2026 19:20:29.203,13261.5706,473.0010,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13276,	05/13/2026 19:20:30.202,13262.5700,474.0004,1,4,0.0000,3.6966,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13277,	05/13/2026 19:20:31.203,13263.5713,475.0017,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13278,	05/13/2026 19:20:32.202,13264.5697,476.0001,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13279,	05/13/2026 19:20:33.202,13265.5697,477.0001,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13280,	05/13/2026 19:20:34.202,13266.5697,478.0001,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13281,	05/13/2026 19:20:35.203,13267.5706,479.0010,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13282,	05/13/2026 19:20:36.202,13268.5699,480.0003,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13283,	05/13/2026 19:20:37.203,13269.5714,481.0018,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13284,	05/13/2026 19:20:38.203,13270.5705,482.0009,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13285,	05/13/2026 19:20:39.202,13271.5697,483.0001,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13286,	05/13/2026 19:20:40.203,13272.5706,484.0010,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,0.0000,
13287,	05/13/2026 19:20:41.202,13273.5697,485.0001,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13288,	05/13/2026 19:20:42.203,13274.5706,486.0010,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13289,	05/13/2026 19:20:43.203,13275.5710,487.0014,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13290,	05/13/2026 19:20:44.203,13276.5705,488.0009,1,4,0.0000,3.6967,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13291,	05/13/2026 19:20:45.203,13277.5714,489.0018,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13292,	05/13/2026 19:20:46.203,13278.5706,490.0010,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13293,	05/13/2026 19:20:47.203,13279.5707,491.0011,1,4,0.0000,3.6968,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13294,	05/13/2026 19:20:48.203,13280.5707,492.0011,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13295,	05/13/2026 19:20:49.203,13281.5708,493.0012,1,4,0.0000,3.6969,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13296,	05/13/2026 19:20:50.203,13282.5705,494.0009,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13297,	05/13/2026 19:20:51.202,13283.5701,495.0005,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13298,	05/13/2026 19:20:52.203,13284.5706,496.0010,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13299,	05/13/2026 19:20:53.203,13285.5710,497.0014,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13300,	05/13/2026 19:20:54.203,13286.5708,498.0012,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13301,	05/13/2026 19:20:55.202,13287.5697,499.0001,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13302,	05/13/2026 19:20:56.202,13288.5700,500.0004,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13303,	05/13/2026 19:20:57.204,13289.5715,501.0019,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13304,	05/13/2026 19:20:58.203,13290.5707,502.0011,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13305,	05/13/2026 19:20:59.203,13291.5706,503.0010,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13306,	05/13/2026 19:21:00.202,13292.5697,504.0001,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13307,	05/13/2026 19:21:01.203,13293.5707,505.0011,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13308,	05/13/2026 19:21:02.203,13294.5705,506.0009,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13309,	05/13/2026 19:21:03.203,13295.5705,507.0009,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13310,	05/13/2026 19:21:04.203,13296.5710,508.0014,1,4,0.0000,3.6970,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13311,	05/13/2026 19:21:05.202,13297.5698,509.0002,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13312,	05/13/2026 19:21:06.203,13298.5705,510.0009,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13313,	05/13/2026 19:21:07.204,13299.5715,511.0019,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13314,	05/13/2026 19:21:08.202,13300.5697,512.0001,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13315,	05/13/2026 19:21:09.202,13301.5698,513.0002,1,4,0.0000,3.6971,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13316,	05/13/2026 19:21:10.203,13302.5707,514.0011,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13317,	05/13/2026 19:21:11.203,13303.5714,515.0018,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13318,	05/13/2026 19:21:12.203,13304.5707,516.0011,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13319,	05/13/2026 19:21:13.203,13305.5706,517.0010,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13320,	05/13/2026 19:21:14.202,13306.5703,518.0007,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13321,	05/13/2026 19:21:15.203,13307.5714,519.0018,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13322,	05/13/2026 19:21:16.203,13308.5707,520.0011,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13323,	05/13/2026 19:21:17.203,13309.5706,521.0010,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13324,	05/13/2026 19:21:18.202,13310.5699,522.0003,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13325,	05/13/2026 19:21:19.203,13311.5706,523.0010,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13326,	05/13/2026 19:21:20.203,13312.5713,524.0017,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13327,	05/13/2026 19:21:21.203,13313.5706,525.0010,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13328,	05/13/2026 19:21:22.202,13314.5700,526.0004,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13329,	05/13/2026 19:21:23.202,13315.5698,527.0002,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13330,	05/13/2026 19:21:24.203,13316.5707,528.0011,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13331,	05/13/2026 19:21:25.203,13317.5706,529.0010,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13332,	05/13/2026 19:21:26.202,13318.5699,530.0003,1,4,0.0000,3.6972,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13333,	05/13/2026 19:21:27.204,13319.5715,531.0019,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13334,	05/13/2026 19:21:28.203,13320.5713,532.0017,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13335,	05/13/2026 19:21:29.203,13321.5705,533.0009,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13336,	05/13/2026 19:21:30.202,13322.5698,534.0002,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13337,	05/13/2026 19:21:31.203,13323.5714,535.0018,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13338,	05/13/2026 19:21:32.203,13324.5706,536.0010,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13339,	05/13/2026 19:21:33.202,13325.5699,537.0003,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13340,	05/13/2026 19:21:34.202,13326.5697,538.0001,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13341,	05/13/2026 19:21:35.203,13327.5706,539.0010,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13342,	05/13/2026 19:21:36.203,13328.5705,540.0009,1,4,0.0000,3.6976,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13343,	05/13/2026 19:21:37.204,13329.5716,541.0020,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13344,	05/13/2026 19:21:38.203,13330.5705,542.0009,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13345,	05/13/2026 19:21:39.203,13331.5712,543.0016,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13346,	05/13/2026 19:21:40.202,13332.5697,544.0001,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13347,	05/13/2026 19:21:41.203,13333.5705,545.0009,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13348,	05/13/2026 19:21:42.202,13334.5699,546.0003,1,4,0.0000,3.6973,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13349,	05/13/2026 19:21:43.203,13335.5713,547.0017,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,0.0000,,,
13350,	05/13/2026 19:21:44.202,13336.5699,548.0003,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13351,	05/13/2026 19:21:45.202,13337.5697,549.0001,1,4,0.0000,3.6974,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
13352,	05/13/2026 19:21:46.203,13338.5706,550.0010,1,4,0.0000,3.6975,0.0000,0.6514,1.7495,2.7207,6.7146,1.7495,0.0000,,,,,
